Fiscal_Year,Department,Fund,CATEGORY,Amount,ExpenseRevenue,Fund_Category,ObjectId
2016,City Attorney,Cty/Cnty Office-Water Planning,Labor and Supply Offset,10000,E,Other Governmental Funds,1843
2016,Human Resources,Worker's Compensation Fund,Employee Services,1887033,E,Risk Management,1844
2016,Debt Service,Fleet Management Fund,City Debt Service,97070,E,Internal Service Funds,1845
2016,Debt Service,2002 Cap Inpr Bds Debt Service,City Debt Service,96944,E,Other Governmental Funds,1846
2016,Debt Service,2005 Refunding Revenue Bonds,City Debt Service,3572413,E,Other Governmental Funds,1847
2016,Debt Service,2006 CIRBs (Refunding) Ser E,City Debt Service,104466,E,Other Governmental Funds,1848
2016,Debt Service,2006 CIRBs Ser A (CRCIP),City Debt Service,2186612,E,Other Governmental Funds,1849
2016,Debt Service,2006 CIRBs Ser B (CRCIP),City Debt Service,1522986,E,Other Governmental Funds,1850
2016,Debt Service,2006 CIRBs Ser C,City Debt Service,0,E,Other Governmental Funds,1851
2016,Debt Service,2006 CIRBs Ser D,City Debt Service,0,E,Other Governmental Funds,1852
2016,Debt Service,2014 ESC Lease Revenue Bonds,City Debt Service,-3335000,E,Other Governmental Funds,1853
2016,Debt Service,Debt Service - 2003 CIRBs,City Debt Service,0,E,Other Governmental Funds,1854
2016,Debt Service,Debt Service - Other City Debt,City Debt Service,102599,E,Other Governmental Funds,1855
2016,Debt Service,Debt Service-93 Series A,City Debt Service,0,E,Other Governmental Funds,1856
2016,Debt Service,Debt Service-93 Series B,City Debt Service,200000,E,Other Governmental Funds,1857
2016,Debt Service,Debt Service-CFD#2 Lease,City Debt Service,0,E,Other Governmental Funds,1858
2016,Debt Service,Golf Fund,City Debt Service,1181956,E,Other Governmental Funds,1859
2016,Debt Service,Kings-Arco Arena Acquisition,City Debt Service,5767979,E,Other Governmental Funds,1860
2016,Debt Service,Landscaping and Lighting,City Debt Service,580788,E,Other Governmental Funds,1861
2016,Debt Service,Marina Fund,City Debt Service,1321731,E,Other Governmental Funds,1862
2016,Debt Service,NNFP Public Facilities Fee Fund,City Debt Service,1888387,E,Other Governmental Funds,1863
2016,Debt Service,NNFP Reg Park Land Acquisition,City Debt Service,422046,E,Other Governmental Funds,1864
2016,Debt Service,2002 Cap Inpr Bds Debt Service,Intergovernmental,96944,R,Other Governmental Funds,1865
2016,Debt Service,2005 Refunding Revenue Bonds,Intergovernmental,3572413,R,Other Governmental Funds,1866
2016,Debt Service,2006 CIRBs (Refunding) Ser E,Intergovernmental,104466,R,Other Governmental Funds,1867
2016,Debt Service,2006 CIRBs Ser A (CRCIP),Intergovernmental,614462,R,Other Governmental Funds,1868
2016,Debt Service,2006 CIRBs Ser A (CRCIP),Miscellaneous Revenue,1572150,R,Other Governmental Funds,1869
2016,Debt Service,2006 CIRBs Ser B (CRCIP),"Interest, Rents, and Concessions",87600,R,Other Governmental Funds,1870
2016,Debt Service,2006 CIRBs Ser B (CRCIP),Intergovernmental,1123386,R,Other Governmental Funds,1871
2016,Debt Service,Debt Service - Other City Debt,"Interest, Rents, and Concessions",16563,R,Other Governmental Funds,1872
2016,Debt Service,Debt Service - Other City Debt,Intergovernmental,86036,R,Other Governmental Funds,1873
2016,Debt Service,Kings-Arco Arena Acquisition,"Interest, Rents, and Concessions",5767979,R,Other Governmental Funds,1874
2016,Economic Development,General Fund,City Property,2000,E,General Fund,1875
2016,Economic Development,General Fund,Employee Services,1516690,E,General Fund,1876
2016,Economic Development,General Fund,Labor and Supply Offset,2856,E,General Fund,1877
2016,Economic Development,General Fund,Other Services and Supplies,515701,E,General Fund,1878
2016,Economic Development,General Fund,"Charges, Fees, and Services",226880,R,General Fund,1879
2016,Finance,General Fund,City Property,44400,E,General Fund,1880
2016,Finance,General Fund,Employee Services,8224767,E,General Fund,1881
2016,Finance,General Fund,Labor and Supply Offset,-4403899,E,General Fund,1882
2016,Human Resources,Worker's Compensation Fund,Labor and Supply Offset,432252,E,Risk Management,1883
2016,City Attorney,Interdepartmental Service Fund,Labor and Supply Offset,2078045,E,Other Governmental Funds,1884
2016,City Attorney,General Fund,Intergovernmental,52000,R,General Fund,1885
2016,Community Development,General Fund,"Charges, Fees, and Services",3669860,R,General Fund,1886
2016,City Clerk,General Fund,City Property,6000,E,General Fund,1887
2016,City Clerk,General Fund,Employee Services,1509963,E,General Fund,1888
2016,City Clerk,General Fund,Labor and Supply Offset,-682078,E,General Fund,1889
2016,City Clerk,General Fund,Other Services and Supplies,307962,E,General Fund,1890
2016,City Clerk,Interdepartmental Service Fund,Labor and Supply Offset,683078,E,Other Governmental Funds,1891
2016,City Clerk,General Fund,"Charges, Fees, and Services",2000,R,General Fund,1892
2016,City Clerk,General Fund,Intergovernmental,50000,R,General Fund,1893
